time,psi
4.32,1.0
4.86,1.0
4.9,1.0
4.93,1.0
4.96,1.0
4.99,1.0
5.02,1.0
5.06,1.0
5.09,1.0
5.12,1.0
5.15,1.0
5.18,1.0
5.22,1.0
5.25,1.0
5.28,1.0
5.31,1.0
5.34,1.0
5.38,1.0
5.41,1.0
5.44,1.0
5.47,1.0
5.5,1.0
5.54,1.0
5.57,1.0
5.6,1.0
5.63,1.0
5.66,1.0
5.7,1.0
5.73,1.0
5.76,1.0
5.79,1.0
5.82,1.0
5.86,1.0
5.89,1.0
5.92,1.0
5.95,1.0
5.98,1.0
6.02,1.0
6.05,1.0
6.08,1.0
6.11,1.0
6.14,1.0
6.18,1.0
6.21,1.0
6.24,1.0
6.27,1.0
6.3,1.0
6.34,1.0
6.37,1.0
6.4,1.0
6.43,1.0
6.46,1.0
6.5,1.0
6.53,1.0
6.56,1.0
6.59,1.0
6.62,1.0
6.66,1.0
6.69,1.0
6.72,1.0
6.75,1.0
6.78,1.0
6.82,1.0
6.85,1.0
6.88,1.0
6.91,1.0
6.94,1.0
6.98,1.0
7.01,1.0
7.04,1.0
7.07,1.0
7.1,1.0
7.14,1.0
7.17,0.67
7.2,0.67
7.23,0.67
7.26,0.67
7.3,0.67
7.33,0.67
7.36,0.67
7.39,0.67
7.42,0.67
7.46,0.67
7.49,0.67
7.52,0.67
7.55,0.67
7.58,0.67
7.62,0.67
7.65,0.67
7.68,0.67
7.71,0.67
7.74,0.67
7.78,0.67
7.81,0.67
7.84,0.67
7.87,0.67
7.9,0.67
7.94,0.67
7.97,0.67
8.0,0.67
8.03,0.67
8.06,0.67
8.1,0.67
8.13,0.67
8.16,0.67
8.19,0.67
8.22,0.67
8.26,0.67
8.29,0.67
8.32,0.67
8.35,0.67
8.38,0.67
8.42,0.67
8.45,0.67
8.48,0.67
8.51,0.67
8.54,0.67
8.58,0.67
8.61,0.67
8.64,0.67
8.67,0.67
8.7,0.67
8.74,0.67
8.77,0.67
8.8,0.67
8.83,0.67
8.86,0.67
8.9,0.67
8.93,0.67
8.96,0.67
8.99,0.67
9.02,0.67
9.06,0.67
9.09,0.67
9.12,0.67
9.15,0.67
9.18,0.67
9.22,0.67
9.25,0.67
9.28,0.67
9.31,0.67
9.34,0.67
9.38,0.67
9.41,0.67
9.44,0.67
9.47,0.67
9.5,0.67
9.54,0.67
9.57,0.67
9.6,0.67
9.63,0.67
9.66,0.67
9.7,0.67
9.73,0.67
9.76,0.67
9.79,0.67
9.82,0.67
9.86,0.67
9.89,0.67
9.92,0.67
9.95,0.67
9.98,0.67
10.02,0.67
10.05,0.67
10.08,0.67
10.11,0.67
10.14,0.67
10.18,0.67
10.21,0.67
10.24,0.67
10.27,0.67
10.3,0.67
10.34,0.67
10.37,0.67
10.4,0.67
10.43,0.67
10.46,0.67
10.5,0.67
10.53,0.67
10.56,0.67
10.59,0.67
10.62,0.67
10.66,0.67
10.69,0.67
10.72,0.67
10.75,0.67
10.78,0.67
10.82,0.67
10.85,0.67
10.88,0.67
10.91,0.67
10.94,0.67
10.98,0.67
11.01,0.67
11.04,0.67
11.07,0.67
11.1,0.67
11.14,0.67
11.17,0.67
11.2,0.67
11.23,0.67
11.26,0.67
11.3,0.67
11.33,0.67
11.36,0.67
11.39,0.67
11.42,0.67
11.46,0.67
11.49,0.67
11.52,0.67
11.55,0.67
11.58,0.67
11.62,0.67
11.65,0.67
11.68,0.67
11.71,0.67
11.74,0.67
11.78,0.67
11.81,0.67
11.84,0.67
11.87,0.67
11.9,0.67
11.94,0.67
11.97,1.0
12.0,1.0
12.03,1.0
12.06,1.0
12.1,1.0
12.13,1.0
12.16,1.0
12.19,1.0
12.22,1.0
12.26,1.0
12.29,1.0
12.32,1.0
12.35,1.0
12.38,1.0
12.42,1.0
12.45,1.0
12.48,1.0
12.51,1.0
12.54,1.0
12.58,1.0
12.61,1.0
12.64,1.0
12.67,1.0
12.7,1.0
12.74,1.0
12.77,1.0
12.8,1.0
12.83,1.0
12.86,1.0
12.9,1.0
12.93,1.0
12.96,1.0
12.99,1.0
13.02,1.0
13.06,1.0
13.09,1.0
13.12,1.0
13.15,1.0
13.18,1.0
13.22,1.0
13.25,1.0
13.28,1.0
13.31,1.0
13.34,1.0
13.38,1.0
13.41,1.0
13.44,1.0
13.47,1.0
13.5,1.0
13.54,1.0
13.57,1.0
13.6,1.0
13.63,1.0
13.66,1.0
13.7,1.0
13.73,1.0
13.76,1.0
13.79,1.0
13.82,1.0
13.86,1.0
13.89,1.0
13.92,1.0
13.95,1.0
13.98,1.0
14.02,1.0
14.05,1.0
14.08,1.0
14.11,1.0
14.14,1.0
14.18,1.0
14.21,1.0
14.24,1.0
14.27,1.0
14.3,1.0
14.34,1.0
14.37,1.0
14.4,1.0
14.43,1.0
14.46,1.0
14.5,1.0
14.53,1.0
14.56,1.0
14.59,1.0
14.62,1.0
